"","Sample","Species"
"13","RO141","Miniopterus schreibersii"
"30","ES192","Miniopterus schreibersii"
"42","SE102","Miniopterus schreibersii"
"29","ES191","Miniopterus schreibersii"
"54","CR109","Miniopterus schreibersii"
"47","IT155","Miniopterus schreibersii"
"43","SE103","Miniopterus schreibersii"
"21","BU301","Miniopterus schreibersii"
"9","ES527","Miniopterus schreibersii"
"5","ES426","Miniopterus schreibersii"
"105","CR132","Myotis capaccinii"
"62","ES620","Myotis capaccinii"
"99","IT151","Myotis capaccinii"
"88","BU321","Myotis capaccinii"
"302","BU325","Myotis capaccinii"
"297","ES830","Myotis capaccinii"
"83","ES361","Myotis capaccinii"
"89","GR134","Myotis capaccinii"
"100","IT163","Myotis capaccinii"
"84","ES363","Myotis capaccinii"
"151","SE144","Myotis myotis"
"148","SE129","Myotis myotis"
"136","ES464","Myotis myotis"
"145","EH150","Myotis myotis"
"143","EH170","Myotis myotis"
"153","PO253","Myotis myotis"
"137","ES476","Myotis myotis"
"156","PO261","Myotis myotis"
"140","ES338","Myotis myotis"
"147","EH153","Myotis myotis"
"200","ES247","Rhinolophus euryale"
"172","ES359","Rhinolophus euryale"
"182","SL151","Rhinolophus euryale"
"202","ES241","Rhinolophus euryale"
"212","CR127","Rhinolophus euryale"
"205","IT318","Rhinolophus euryale"
"174","ES174","Rhinolophus euryale"
"203","IT319","Rhinolophus euryale"
"178","ES178","Rhinolophus euryale"
"176","ES175","Rhinolophus euryale"
